SDG using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
Epoch=0, minibatch=0 loss=60.90100, Wa=0.1000, Wb=1.8000
Epoch=0, minibatch=1 loss=56.29141, Wa=0.1003, Wb=1.7969
Epoch=0, minibatch=2 loss=54.92580, Wa=0.1018, Wb=1.7964
Epoch=0, minibatch=3 loss=51.56196, Wa=0.2859, Wb=1.7958
Epoch=0, minibatch=4 loss=43.29861, Wa=0.2918, Wb=1.7915
Epoch=0, minibatch=5 loss=44.39766, Wa=0.2926, Wb=1.7876
Epoch=0, minibatch=6 loss=44.25992, Wa=0.2970, Wb=1.7857
Epoch=0, minibatch=7 loss=39.18136, Wa=0.3189, Wb=1.7815
Epoch=1, minibatch=0 loss=38.93418, Wa=0.3781, Wb=1.7779
Epoch=1, minibatch=1 loss=35.36805, Wa=0.5375, Wb=1.7753
Epoch=1, minibatch=2 loss=33.07298, Wa=0.5721, Wb=1.7707
Epoch=1, minibatch=3 loss=27.67528, Wa=0.5799, Wb=1.7666
Epoch=1, minibatch=4 loss=26.09694, Wa=0.6055, Wb=1.7610
Epoch=1, minibatch=5 loss=25.38973, Wa=0.6105, Wb=1.7521
Epoch=1, minibatch=6 loss=26.67774, Wa=0.6168, Wb=1.7432
Epoch=1, minibatch=7 loss=20.43643, Wa=0.6564, Wb=1.7366
Epoch=2, minibatch=0 loss=21.04375, Wa=0.6723, Wb=1.7254
Epoch=2, minibatch=1 loss=21.72538, Wa=0.6726, Wb=1.7187
Epoch=2, minibatch=2 loss=19.65117, Wa=0.6908, Wb=1.7113
Epoch=2, minibatch=3 loss=19.87033, Wa=0.6961, Wb=1.7007
Epoch=2, minibatch=4 loss=20.15807, Wa=0.7328, Wb=1.6924
Epoch=2, minibatch=5 loss=20.03956, Wa=0.7618, Wb=1.6860
Epoch=2, minibatch=6 loss=13.57348, Wa=0.7849, Wb=1.6796
Epoch=2, minibatch=7 loss=18.52713, Wa=0.7882, Wb=1.6706
Epoch=3, minibatch=0 loss=15.64374, Wa=0.8679, Wb=1.6653
Epoch=3, minibatch=1 loss=12.34046, Wa=0.8996, Wb=1.6565
Epoch=3, minibatch=2 loss=9.13789, Wa=0.9147, Wb=1.6486
Epoch=3, minibatch=3 loss=11.50479, Wa=0.9363, Wb=1.6402
Epoch=3, minibatch=4 loss=10.45638, Wa=0.9454, Wb=1.6305
Epoch=3, minibatch=5 loss=8.45739, Wa=0.9603, Wb=1.6191
Epoch=3, minibatch=6 loss=8.91743, Wa=0.9675, Wb=1.6091
Epoch=3, minibatch=7 loss=7.86436, Wa=0.9849, Wb=1.6014
Epoch=4, minibatch=0 loss=5.92486, Wa=0.9868, Wb=1.5921
Epoch=4, minibatch=1 loss=8.23811, Wa=1.0007, Wb=1.5840
Epoch=4, minibatch=2 loss=8.07439, Wa=1.0080, Wb=1.5746
Epoch=4, minibatch=3 loss=6.74690, Wa=1.0153, Wb=1.5666
Epoch=4, minibatch=4 loss=6.39132, Wa=1.0314, Wb=1.5583
Epoch=4, minibatch=5 loss=6.26489, Wa=1.0329, Wb=1.5492
Epoch=4, minibatch=6 loss=4.53094, Wa=1.0618, Wb=1.5418
Epoch=4, minibatch=7 loss=4.69470, Wa=1.0665, Wb=1.5344
Epoch=5, minibatch=0 loss=4.56178, Wa=1.0846, Wb=1.5253
Epoch=5, minibatch=1 loss=3.27406, Wa=1.1164, Wb=1.5180
Epoch=5, minibatch=2 loss=3.40293, Wa=1.1185, Wb=1.5102
Epoch=5, minibatch=3 loss=3.73350, Wa=1.1181, Wb=1.5004
Epoch=5, minibatch=4 loss=2.80048, Wa=1.1280, Wb=1.4906
Epoch=5, minibatch=5 loss=3.60698, Wa=1.1279, Wb=1.4831
Epoch=5, minibatch=6 loss=3.27103, Wa=1.1345, Wb=1.4757
Epoch=5, minibatch=7 loss=3.40416, Wa=1.1419, Wb=1.4681
Epoch=6, minibatch=0 loss=2.88882, Wa=1.1525, Wb=1.4622
Epoch=6, minibatch=1 loss=2.54204, Wa=1.1541, Wb=1.4530
Epoch=6, minibatch=2 loss=2.24333, Wa=1.1607, Wb=1.4472
Epoch=6, minibatch=3 loss=1.49706, Wa=1.1719, Wb=1.4414
Epoch=6, minibatch=4 loss=2.26541, Wa=1.1741, Wb=1.4350
Epoch=6, minibatch=5 loss=1.79167, Wa=1.1889, Wb=1.4292
